snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260507T104124Z,2026-05-07T10:41:24.175987Z,gb00843,96,0.96,2026-05-06.90,14.8076,222.114,5.6207,19.5,Updated,May 7.32 UT,,29,0.41,26.3,0.125,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104124Z,2026-05-07T10:41:24.175987Z,C468MQ1,100,1.0,2026-05-06.40,16.7118,250.677,30.5141,16.5,Updated,May 6.43 UT,,7,0.06,25.9,1.023,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104124Z,2026-05-07T10:41:24.175987Z,P22mZMk,100,1.0,2026-05-06.30,12.0657,180.9855,-31.224,21.5,Updated,May 7.23 UT,,12,0.9,24.3,0.232,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104124Z,2026-05-07T10:41:24.175987Z,P22mZMl,100,1.0,2026-05-06.30,12.6764,190.146,-29.575,21.7,Updated,May 7.28 UT,,13,0.94,20.6,0.179,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104124Z,2026-05-07T10:41:24.175987Z,P22mZLU,90,0.9,2026-05-06.30,11.6404,174.606,-19.8381,20.8,Updated,May 7.06 UT,,7,0.74,20.5,0.432,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104124Z,2026-05-07T10:41:24.175987Z,C468MC1,86,0.86,2026-05-06.30,12.569,188.53500000000003,44.6343,19.8,Updated,May 7.30 UT,,35,1.0,26.0,0.151,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104124Z,2026-05-07T10:41:24.175987Z,A11BX2S,100,1.0,2026-05-05.20,18.0013,270.0195,4.0137,18.4,Updated,May 7.31 UT,,2,0.01,24.8,2.218,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104124Z,2026-05-07T10:41:24.175987Z,A11BT9Q,100,1.0,2026-05-04.20,0.5934,8.901,74.8293,21.0,Updated,May 7.31 UT,,4,0.01,23.5,3.191,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104124Z,2026-05-07T10:41:24.175987Z,A11BRI6,35,0.35,2026-05-03.00,9.7154,145.73100000000002,-41.1896,18.6,Updated,May 6.90 UT,,45,3.72,19.9,0.708,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104124Z,2026-05-07T10:41:24.175987Z,A11BRHV,100,1.0,2026-05-02.30,14.2005,213.0075,-22.1422,15.6,Updated,May 7.31 UT,,4,0.02,21.2,5.109,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104124Z,2026-05-07T10:41:24.175987Z,ZTF10Df,98,0.98,2026-05-02.20,10.3914,155.871,1.4836,22.4,Updated,May 6.32 UT,,9,0.68,26.6,4.604,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104124Z,2026-05-07T10:41:24.175987Z,C1EUYV5,65,0.65,2026-04-27.50,17.3698,260.547,18.346,21.8,Updated,May 7.29 UT,,12,9.79,12.7,0.186,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104124Z,2026-05-07T10:41:24.175987Z,C1EUWK5,37,0.37,2026-04-27.40,14.494,217.41,-2.9972,22.9,Updated,May 7.40 UT,,10,9.96,20.7,0.08,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104124Z,2026-05-07T10:41:24.175987Z,C1EN9T5,94,0.94,2026-04-23.40,16.7317,250.9755,32.1206,22.2,Updated,May 7.31 UT,,34,13.87,18.5,0.153,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104124Z,2026-05-07T10:41:24.175987Z,C1CWP45,100,1.0,2026-03-18.30,9.4934,142.40099999999998,34.2497,24.1,Updated,May 7.31 UT,,15,1.94,15.6,48.21,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104242Z,2026-05-07T10:42:42.908094Z,ZTF10Di,100,1.0,2026-05-07.40,15.2474,228.711,-9.469,16.2,Added,May 7.44 UT,,4,0.02,27.2,0.057,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104242Z,2026-05-07T10:42:42.908094Z,P22n0fj,97,0.97,2026-05-07.30,14.3582,215.373,15.7148,21.6,Updated,May 7.42 UT,,8,0.1,25.7,0.027,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104242Z,2026-05-07T10:42:42.908094Z,C468U01,100,1.0,2026-05-07.30,14.468,217.02,-11.3368,18.4,Updated,May 7.43 UT,S,8,0.06,32.9,0.04,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104242Z,2026-05-07T10:42:42.908094Z,ST26E02,98,0.98,2026-05-07.20,12.8642,192.963,-14.1959,19.4,Updated,May 7.35 UT,,16,0.1,28.3,0.107,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260507T104242Z,2026-05-07T10:42:42.908094Z,S001563,68,0.68,2026-05-07.00,13.0189,195.2835,-26.712,21.4,Added,May 7.12 UT,,3,0.03,18.4,0.372,https://minorplanetcenter.net/iau/NEO/neocp.txt
